cpu power (w)      , gpu power (w), energy use (kwh/year), grid carbon intensity (kg co2/kwh), operational emissions (kg co2), manufacturing emissions (kg co2), disposal emissions (kg co2), operational emissions, predicted_emissions (kg co2)
 7.13              ,          5.26,               366.608,                              0.641,                          0.027,                              100,                          20,    234.995728        ,                    354.82007
 7.07              ,          5.61,               375.318,                              0.641,                          0.027,                              100,                          20,    240.578838        ,                    360.48846
 7.04              ,          5.65,               375.746,                              0.641,                          0.027,                              100,                          20,    240.853186        ,                    360.7477
 7.37              ,          5.21,               372.618,                              0.641,                          0.027,                              100,                          20,    238.848138        ,                    358.8059
 6.35              ,          5.51,               351.414,                              0.641,                          0.026,                              100,                          20,    225.256374        ,                    345.3072
 6.59              ,          5.78,               366.652,                              0.641,                          0.027,                              100,                          20,    235.023932        ,                    354.80273
 6.26              ,          5.66,               353.436,                              0.641,                          0.026,                              100,                          20,    226.552476        ,                    346.49435
 6.44              ,          5.61,               357.416,                              0.641,                          0.026,                              100,                          20,    229.103656        ,                    349.10733
 7.37              ,          5.22,               373.562,                              0.641,                          0.027,                              100,                          20,    239.453242        ,                    359.69635
 7.31              ,          5.42,               377.855,                              0.641,                          0.028,                              100,                          20,    242.205055        ,                    362.17746
 6.890000000000001 ,          4.9 ,               350.08 ,                              0.641,                          0.026,                              100,                          20,    224.40128         ,                    343.9999
 9.11              ,          5.28,               427.433,                              0.641,                          0.031,                              100,                          20,    273.984553        ,                    394.0787
 7.640000000000001 ,          5.61,               393.709,                              0.641,                          0.029,                              100,                          20,    252.367469        ,                    372.44427
 7.13              ,          5.43,               373.34 ,                              0.641,                          0.027,                              100,                          20,    239.31094         ,                    359.16006
 7.07              ,          5.64,               377.931,                              0.641,                          0.028,                              100,                          20,    242.253771        ,                    362.31293
 9.62              ,          5.02,               435.474,                              0.641,                          0.032,                              100,                          20,    279.138834        ,                    399.16568
 6.859999999999999 ,          5.43,               365.701,                              0.641,                          0.027,                              100,                          20,    234.414341        ,                    354.38797
 6.17              ,          5.42,               344.993,                              0.641,                          0.025,                              100,                          20,    221.140513        ,                    341.04733
 7.73              ,          5.57,               396.032,                              0.641,                          0.029,                              100,                          20,    253.856512        ,                    373.92288
 8.54              ,          4.48,               387.83 ,                              0.641,                          0.028,                              100,                          20,    248.59903         ,                    368.60468
 5.6               ,          5.5 ,               330.753,                              0.641,                          0.024,                              100,                          20,    212.012673        ,                    333.09915
 5.42              ,          5.06,               312.388,                              0.641,                          0.023,                              100,                          20,    200.240708        ,                    320.28897
